"PCoA1","PCoA2","species","group","plot_label","sea","status"
0.0451162830855271,0.0626172857052561,"Abalistes stellatus","Natives - Red Sea","Abalistes stellatus (RS)","red",0
-0.077577721975264,-0.096019975331183,"Acanthurus nigrofuscus","Natives - Red Sea","Acanthurus nigrofuscus (RS)","red",0
-0.159134449188515,-0.116816873329053,"Aetobatus ocellatus","Natives - Red Sea","Aetobatus ocellatus (RS)","red",0
-0.10546504623729,-0.0647584604773498,"Aluterus scriptus","Natives - Red Sea","Aluterus scriptus (RS)","red",0
-0.0502779997483315,0.0338005088626114,"Amblyeleotris sungami","Natives - Red Sea","Amblyeleotris sungami (RS)","red",0
0.0169338071242797,0.0188361914187957,"Amphiprion bicinctus","Natives - Red Sea","Amphiprion bicinctus (RS)","red",0
-0.00385873294063736,-0.0734700742652963,"Anampses lineatus","Natives - Red Sea","Anampses lineatus (RS)","red",0
-0.124263435520406,-0.0929753811319931,"Anampses twistii","Natives - Red Sea","Anampses twistii (RS)","red",0
-0.0877382829657671,0.0683394400543906,"Apolemichthys xanthotis","Natives - Red Sea","Apolemichthys xanthotis (RS)","red",0
-0.0142627831543102,0.0401792150523577,"Argyrops megalommatus","Natives - Red Sea","Argyrops megalommatus (RS)","red",0
-0.00734261005417509,0.00580113684606487,"Argyrops spinifer","Natives - Red Sea","Argyrops spinifer (RS)","red",0
